,states,x,y
0,Andaman And Nicobar Islands,174.0,-230.0
1,Andhra Pradesh,-56.0,-151.0
2,Arunachal Pradesh,209.0,96.0
3,Assam,180.0,60.0
4,Bihar,59.0,50.0
5,Chhattisgarh,2.0,-20.0
6,Chandigarh,-102.0,140.0
7,Dadra And Nagar Haveli,-160.0,-52.0
8,Daman And Diu,-196.0,-51.0
9,Delhi,-89.0,100.0
10,Goa,-144.0,-146.0
11,Gujarat,-190.0,-11.0
12,Haryana,-113.0,110.0
13,Himachal Pradesh,-88.0,168.0
14,Jammu And Kashmir,-125.0,198.0
15,Jharkhand,43.0,4.0
16,Karnataka,-119.0,-167.0
17,Kerala,-102.0,-237.0
18,Lakshadweep,-172.0,-240.0
19,Madhya Pradesh,-81.0,-4.0
20,Maharashtra,-126.0,-73.0
21,Manipur,197.0,24.0
22,Meghalaya,145.0,36.0
23,Mizoram,180.0,-12.0
24,Nagaland,211.0,51.0
25,Odisha,42.0,-52.0
26,Punjab,-120.0,143.0
27,Rajasthan,-169.0,64.0
28,Sikkim,105.0,76.0
29,Tamil Nadu,-71.0,-225.0
30,Telangana,-59.0,-100.0
31,Tripura,158.0,4.0
32,Uttar Pradesh,-33.0,70.0
33,Uttarakhand,-54.0,136.0
34,West Bengal,93.0,-12.0
35,Pondicherry,-45.0,-208.0
